Date,Cpi,Food Price Index,Energy Price Index,Hicp,Unemployment Rate,Gdp,Rent Price,House Prices,Lci
2001-01-01,0.0018055197317512484,0.016059957173447548,0.11147362697117999,0.0038372985418266836,0.10931174089068829,0.0,0.0,0.31555955258483004,0.0
2001-02-01,0.0,0.011688079942897944,0.09794725394235995,0.0,0.11032388663967613,0.005330220961370591,0.006099099761798676,0.3284149222536983,0.017083587553386237
2001-03-01,0.03662625741552761,0.008565310492505362,0.07775965198477433,0.04272192376566908,0.11032388663967613,0.010660441922741626,0.012198199523597353,0.3412702919225665,0.03416717510677242
2001-04-01,0.05442352334279077,0.0033012134189863707,0.08285753126699294,0.0634433358915325,0.11842105263157893,0.01599066288411244,0.01829729928539603,0.35412566159143477,0.051250762660158655
2001-05-01,0.06267732783079683,0.009189864382583846,0.08720772158781945,0.07290867229470477,0.11740890688259109,0.02916286849376548,0.02590723449208232,0.35220893354613825,0.05430140329469191
2001-06-01,0.06061387670879537,0.013650963597430399,0.07850734094616638,0.07111793297518543,0.11740890688259109,0.0423350741034183,0.03351716969876861,0.3502922055008417,0.05735204392922516
2001-07-01,0.02682486458602007,0.04755531763026405,0.05532898314301252,0.03300076745970859,0.11538461538461536,0.055507279713071345,0.0411271049054549,0.3483754774555452,0.06040268456375841
2001-08-01,0.027340727366520712,0.044967880085653056,0.061446438281674814,0.033256587362497037,0.11437246963562753,0.061256364601880664,0.04952992843548776,0.3764039263839214,0.09151921903599758
2001-09-01,0.06345112200154746,0.023465381870092783,0.04955138662316477,0.0726528523919161,0.11336032388663969,0.06700544949068976,0.05793275196552061,0.40443237531229737,0.12263575350823674
2001-10-01,0.06964147536755227,0.0,0.01862425231103862,0.07853671015605035,0.1255060728744939,0.0727545343794993,0.06633557549555347,0.43246082424067356,0.1537522879804759
2001-11-01,0.07170492648955396,0.01472162740899352,0.0016992930940728512,0.08109490918393458,0.1255060728744939,0.08244519981939158,0.07581559274867633,0.4479190070514041,0.1354484441732764
2001-12-01,0.09001805519731754,0.01498929336188437,0.0,0.10258378101816334,0.12449392712550611,0.09213586525928386,0.08529561000179964,0.46337718986213416,0.11714460036607688
2002-01-01,0.08460149600206357,0.017933618843683052,0.001971179989124522,0.09132770529547218,0.12145748987854249,0.10182653069917613,0.0947756272549225,0.4788353726728647,0.09884075655887736
2002-02-01,0.0639669847820481,0.011688079942897944,0.00856443719412725,0.06907137375287808,0.12145748987854249,0.11675370517091066,0.1034330208706864,0.5077875673171768,0.10982306284319704
2002-03-01,0.11271601753933469,0.01855817273376159,0.04125883632408919,0.1240726528523921,0.12044534412955465,0.1316808796426452,0.1120904144864503,0.5367397619614891,0.12080536912751683
2002-04-01,0.12819190095434618,0.015524625267665959,0.05696030451332243,0.1407009465336404,0.1082995951417004,0.14660805411437972,0.1207478081022142,0.565691956605801,0.1317876754118365
2002-05-01,0.12793396956409575,0.02444682369735901,0.05933931484502447,0.14504988488104376,0.1082995951417004,0.1526652524684573,0.1273406435990072,0.5684265187625575,0.12873703477730325
2002-06-01,0.12432293010059303,0.03899000713775869,0.047988036976617715,0.13967766692248684,0.10728744939271256,0.15872245082253533,0.1339334790958011,0.5711610809193135,0.12568639414277
2002-07-01,0.09001805519731754,0.05192719486081371,0.054921152800435025,0.10079304169864445,0.10728744939271256,0.16477964917661292,0.14052631459259457,0.57389564307607,0.12263575350823674
2002-08-01,0.09440288883157066,0.05781584582441113,0.0631457313757477,0.10463034024047091,0.10728744939271256,0.18123745183064832,0.15212536796563025,0.5809185083227693,0.1478543827537116
2002-09-01,0.13154500902759847,0.07423269093504636,0.07877922784121802,0.14479406497825553,0.10627530364372473,0.19769525448468372,0.16372442133866594,0.5879413735694681,0.1730730119991865
2002-10-01,0.14186226463760665,0.07423269093504636,0.07952691680261012,0.15528268099258136,0.09716599190283404,0.21415305713871913,0.17532347471170162,0.5949642388161673,0.19829164124466137
2002-11-01,0.14212019602785642,0.07066381156316914,0.05730016313213704,0.15553850089537002,0.09716599190283404,0.22849098235659926,0.18534033172373254,0.6034213138773525,0.19219035997559486
2002-12-01,0.15604849110136687,0.08029978586723768,0.08788743882544861,0.17012023535431076,0.09716599190283404,0.24282890757447984,0.19535718873576347,0.6118783889385373,0.18608907870652835
2003-01-01,0.14573123549135936,0.07940756602426835,0.11575584556824361,0.1547710411870047,0.08906882591093118,0.25716683279235997,0.2053740457477944,0.6203354639997227,0.17998779743746185
2003-02-01,0.14779468661336104,0.07548179871520339,0.15266449157150627,0.149910463034024,0.08603238866396762,0.2696035417429852,0.21401159568988692,0.6121940242521491,0.21354484441732768
2003-03-01,0.1934485426876451,0.07209136331192001,0.11799891245241981,0.20030698388334622,0.08502024291497978,0.2820402506936104,0.22264914563197902,0.6040525845045754,0.2471018913971934
2003-04-01,0.19525406241939613,0.06691648822269802,0.07796356715606309,0.20491174213353824,0.08704453441295545,0.2944769596442356,0.23128669557407155,0.5959111447570018,0.28065893837705913
2003-05-01,0.20402372968790283,0.06620271234832265,0.08652800435019029,0.2138654387311334,0.08603238866396762,0.3117852690526295,0.24013455882891188,0.5974054026011884,0.28716697173073014
2003-06-01,0.20015475883415013,0.06423982869379014,0.09971451876019574,0.21156305960603783,0.08704453441295545,0.32909357846102294,0.24898242208375176,0.5988996604453753,0.29367500508440114
2003-07-01,0.16017539334537023,0.053443968593861524,0.09781131049483419,0.1680736761320032,0.08704453441295545,0.34640188786941684,0.25783028533859165,0.6003939182895619,0.30018303843807204
